GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,82,0,3,2,1,mcts,1,2,2,3,rhea1,3,rheaT2,mcts,48.0,35.0,34.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
879079583,SushiGo,3,GAME_OVER,81,0,3,3,2,mcts,2,3,3,1,rhea1,1,rheaT2,mcts,43.0,23.0,60.0,rhea1,rheaT2,rhea1,mcts,rheaT2,2
-619666105,SushiGo,3,GAME_OVER,83,0,3,4,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,49.0,25.0,44.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
503938916,SushiGo,3,GAME_OVER,85,0,3,5,2,mcts,2,3,3,1,rhea1,1,rheaT2,mcts,35.0,33.0,36.0,rhea1,rheaT2,rhea1,mcts,rheaT2,2
-428737539,SushiGo,3,GAME_OVER,84,0,3,6,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,44.0,29.0,36.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
-1745970416,SushiGo,3,GAME_OVER,86,0,3,7,2,mcts,2,3,3,1,rhea1,1,rheaT2,mcts,36.0,30.0,45.0,rhea1,rheaT2,rhea1,mcts,rheaT2,2
-1436161366,SushiGo,3,GAME_OVER,83,0,3,8,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,40.0,23.0,35.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
-1151041315,SushiGo,3,GAME_OVER,83,0,3,9,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,62.0,40.0,44.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
697067980,SushiGo,3,GAME_OVER,87,0,3,10,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,35.0,24.0,32.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
1168140970,SushiGo,3,GAME_OVER,81,0,3,11,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,53.0,34.0,44.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
-1491060889,SushiGo,3,GAME_OVER,86,0,3,12,2,mcts,2,3,3,1,rhea1,1,rheaT2,mcts,43.0,31.0,50.0,rhea1,rheaT2,rhea1,mcts,rheaT2,2
-1819802610,SushiGo,3,GAME_OVER,86,0,3,13,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,54.0,31.0,39.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
-2121274456,SushiGo,3,GAME_OVER,85,0,3,14,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,47.0,24.0,39.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
259280696,SushiGo,3,GAME_OVER,83,0,3,15,1,mcts,1,3,3,2,rhea1,2,rheaT2,mcts,42.0,23.0,36.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
1706137030,SushiGo,3,GAME_OVER,81,0,3,16,2,mcts,2,3,3,1,rhea1,1,rheaT2,mcts,38.0,28.0,49.0,rhea1,rheaT2,rhea1,mcts,rheaT2,2
545138396,SushiGo,3,GAME_OVER,81,0,3,17,1,mcts,1,2,2,3,rhea1,3,rheaT2,mcts,41.0,40.0,38.0,rhea1,rheaT2,rhea1,mcts,rheaT2,1
346665430,SushiGo,3,GAME_OVER,83,0,3,18,2,mcts,2,3,3,1,rheaT2,1,rhea1,mcts,50.0,26.0,52.0,rheaT2,rhea1,rheaT2,mcts,rhea1,2
879079583,SushiGo,3,GAME_OVER,84,0,3,19,1,mcts,1,2,2,3,rheaT2,3,rhea1,mcts,56.0,40.0,38.0,rheaT2,rhea1,rheaT2,mcts,rhea1,1
-619666105,SushiGo,3,GAME_OVER,81,0,3,20,3,mcts,3,2,2,1,rheaT2,1,rhea1,mcts,33.0,36.0,43.0,rheaT2,rhea1,rheaT2,mcts,rhea1,2
503938916,SushiGo,3,GAME_OVER,85,0,3,21,1,mcts,1,3,3,2,rheaT2,2,rhea1,mcts,50.0,30.0,37.0,rheaT2,rhea1,rheaT2,mcts,rhea1,1
-428737539,SushiGo,3,GAME_OVER,84,0,3,22,1,mcts,1,3,3,2,rheaT2,2,rhea1,mcts,48.0,32.0,35.0,rheaT2,rhea1,rheaT2,mcts,rhea1,1
-1745970416,SushiGo,3,GAME_OVER,84,0,3,23,1,mcts,1,3,3,2,rheaT2,2,rhea1,mcts,49.0,25.0,45.0,rheaT2,rhea1,rheaT2,mcts,rhea1,1
